ss,article,name,value,score
ss_285196,Outerwear,product_color,pink,0.5442062
ss_285196,Outerwear,upper_body_garment,blouse,0.4745080
ss_285196,Outerwear,product_pattern,solid,0.4378133
ss_285196,Jeans,category,apparel,0.9970717
ss_285196,Jeans,apparel,lower_body_garment,0.9851109
ss_285196,Jeans,lower_body_length,full_length,0.9766771
ss_285196,Jeans,pants_fit_type,wide_leg,0.9573613
ss_285196,Jeans,lower_body_garment,jeans,0.9489732
ss_285196,Jeans,product_pattern,solid,0.8357089
ss_285196,Jeans,product_color,blue,0.5575093
ss_285196,Jeans,denim_wash_color,dark,0.5316675
ss_285196,Jeans,rise_type,low_rise,0.3706980
ss_285196,Bags,category,bag,0.9922879
ss_285196,Bags,bag,shoulder_bag_totes,0.9900396
ss_285196,Bags,shoulder_bag_totes,top_handle_bag,0.8803287
ss_285196,Bags,product_pattern,other,0.4918925
ss_285196,Bags,product_color,blue,0.4627528
ss_285196,Footwear,toe_type,closed_toe,0.9999961
ss_285196,Footwear,category,footwear,0.9922804
ss_285196,Footwear,footwear,shoes,0.9713694
ss_285196,Footwear,toe_shape,pointed,0.9626055
ss_285196,Footwear,shoes,flat_shoes,0.9105422
ss_285196,Footwear,product_pattern,solid,0.8728951
ss_285196,Footwear,shoe_closure,slip_on,0.7868260
ss_285196,Footwear,heel_type,other,0.7319819
ss_285196,Footwear,heel_height,low,0.4213662
ss_285196,Footwear,shoe_type,ballerinas,0.3384123
ss_285196,Footwear,product_color,grey,0.3021808
ss_261514,Outerwear,sleeve_length,long,0.9999249
ss_261514,Outerwear,category,apparel,0.9919406
ss_261514,Outerwear,upper_body_length,regular,0.8722007
ss_261514,Outerwear,apparel,upper_body_garment,0.8279673
ss_261514,Outerwear,neckline,funnel_neck,0.5379717
ss_261514,Outerwear,sleeve_style,bell_sleeve,0.4765320
ss_261514,Outerwear,product_pattern,animal_print,0.4374507
ss_261514,Outerwear,upper_body_garment,sweater,0.3695577
ss_261514,Outerwear,sweater_style,ruffle,0.2847782
ss_261514,Outerwear,product_color,white,0.2622210
ss_261514,Jeans,lower_body_length,full_length,0.9999584
ss_261514,Jeans,pants_fit_type,skinny,0.9871281
ss_261514,Jeans,product_pattern,solid,0.8294120
ss_261514,Jeans,category,apparel,0.7847313
ss_261514,Jeans,apparel,lower_body_garment,0.6929386
ss_261514,Jeans,denim_wash_color,dark,0.5580974
ss_261514,Jeans,product_color,blue,0.4727196
ss_261514,Jeans,lower_body_garment,jeans,0.4472790
ss_261514,Bags,category,bag,0.9954535
ss_261514,Bags,bag,shoulder_bag_totes,0.9919457
ss_261514,Bags,product_color,silver,0.9760923
ss_261514,Bags,shoulder_bag_totes,crossbody_bag,0.8147915
ss_261514,Bags,product_pattern,stripes,0.5746673
ss_261514,Footwear,toe_type,closed_toe,0.9992527
ss_261514,Footwear,product_pattern,solid,0.9345998
ss_261514,Footwear,heel_type,other,0.9236208
ss_261514,Footwear,heel_height,flat,0.8342571
ss_261514,Footwear,category,footwear,0.7669182
ss_261514,Footwear,shoe_closure,slip_on,0.6530095
ss_261514,Footwear,toe_shape,pointed,0.6366760
ss_261514,Footwear,footwear,shoes,0.5884798
ss_261514,Footwear,shoes,flat_shoes,0.5172821
ss_261514,Footwear,shoe_decoration,tassel_fringe_decoration,0.3873695
ss_261514,Footwear,shoe_type,loafer_shoes,0.2328489
ss_261514,Footwear,product_color,black,0.2124607
ss_262730,Tops,category,apparel,0.9848651
ss_262730,Tops,closure_type,button,0.9723032
ss_262730,Tops,upper_body_length,crop,0.9487658
ss_262730,Tops,apparel,upper_body_garment,0.9415753
ss_262730,Tops,sleeve_length,three_quarter,0.9250687
ss_262730,Tops,product_pattern,ombre,0.9035669
ss_262730,Tops,sleeve_style,straight,0.9010018
ss_262730,Tops,neckline,v_neck,0.7769075
ss_262730,Tops,product_color,white,0.7337727
ss_262730,Tops,upper_body_garment,blouse,0.6386091
ss_262730,Jeans,category,apparel,0.9987290
ss_262730,Jeans,apparel,lower_body_garment,0.9883810
ss_262730,Jeans,lower_body_garment,jeans,0.9706021
ss_262730,Jeans,denim_wash_color,dark,0.9406367
ss_262730,Jeans,product_pattern,solid,0.8410884
ss_262730,Jeans,product_color,blue,0.8370343
ss_262730,Jeans,lower_body_length,full_length,0.8205500
ss_262730,Jeans,pants_fit_type,wide_leg,0.6862643
ss_262730,Jeans,rise_type,mid_rise,0.3030676
ss_262730,Footwear,category,footwear,0.9384177
ss_262730,Footwear,footwear,sneakers,0.7780848
ss_262730,Footwear,shoe_closure,lace,0.7379119
ss_262730,Footwear,sneakers,lifestyle_sneakers,0.7070094
ss_262730,Footwear,product_pattern,solid,0.6473736
ss_262730,Footwear,product_color,white,0.6226182
ss_262941,Jeans,lower_body_length,full_length,0.9999236
ss_262941,Jeans,category,apparel,0.9884346
ss_262941,Jeans,apparel,lower_body_garment,0.9470022
ss_262941,Jeans,denim_wash_color,dark,0.8771946
ss_262941,Jeans,lower_body_garment,jeans,0.8611408
ss_262941,Jeans,product_pattern,solid,0.8327175
ss_262941,Jeans,product_color,blue,0.7657124
ss_262941,Jeans,pants_fit_type,straight_loose,0.4740385
ss_262941,Jeans,rise_type,high_rise,0.2577885
ss_262941,Tops,category,apparel,0.9672149
ss_262941,Tops,upper_body_length,crop,0.9659905
ss_262941,Tops,sleeve_length,sleeveless,0.9549639
ss_262941,Tops,product_color,white,0.7886313
ss_262941,Tops,apparel,upper_body_garment,0.7763042
ss_262941,Tops,neckline,halter_neck,0.6888791
ss_262941,Tops,product_pattern,other,0.5951498
ss_262941,Tops,closure_type,button,0.5609040
ss_262941,Tops,upper_body_garment,top,0.5264103
ss_262941,Bags,category,bag,0.9498240
ss_262941,Bags,bag,shoulder_bag_totes,0.9282985
ss_262941,Bags,product_color,multi,0.5250270
ss_262941,Bags,product_pattern,solid,0.3575053
ss_262941,Bags,shoulder_bag_totes,hobo_bag,0.3126583
ss_262941,Sunglasses,category,accessory,0.9800544
ss_262941,Sunglasses,accessory,eyewear,0.9770190
ss_262941,Footwear,toe_type,closed_toe,0.9999911
ss_262941,Footwear,category,footwear,0.9830798
ss_262941,Footwear,footwear,shoes,0.9558833
ss_262941,Footwear,toe_shape,pointed,0.9479020
ss_262941,Footwear,shoes,flat_shoes,0.9235424
ss_262941,Footwear,heel_type,other,0.9232939
ss_262941,Footwear,shoe_closure,slip_on,0.5789195
ss_262941,Footwear,heel_height,flat,0.5083131
ss_262941,Footwear,shoe_type,ballerinas,0.4580989
ss_262941,Footwear,product_pattern,solid,0.3015955
ss_262941,Footwear,product_color,beige,0.1559578
ss_272091,Jeans,lower_body_length,full_length,0.9997409
ss_272091,Jeans,category,apparel,0.9769581
ss_272091,Jeans,apparel,lower_body_garment,0.9009749
ss_272091,Jeans,denim_wash_color,dark,0.8480844
ss_272091,Jeans,product_pattern,solid,0.8168736
ss_272091,Jeans,product_color,blue,0.7176620
ss_272091,Jeans,lower_body_garment,jeans,0.5910148
ss_272091,Jeans,pants_fit_type,skinny,0.4976316
ss_272091,Jeans,rise_type,mid_rise,0.2896149
ss_272091,Tops,category,apparel,0.9812176
ss_272091,Tops,product_pattern,solid,0.9113623
ss_272091,Tops,sleeve_style,straight,0.8581303
ss_272091,Tops,upper_body_length,thigh_length,0.6229591
ss_272091,Tops,closure_type,zip,0.6193360
ss_272091,Tops,sleeve_length,long,0.5580609
ss_272091,Tops,product_color,black,0.3917993
ss_272091,Tops,apparel,upper_body_garment,0.3891977
ss_272091,Tops,upper_body_garment,top,0.2696584
ss_272091,Tops,neckline,v_neck,0.2556153
ss_272091,Footwear,category,shoes,0.7122796
ss_272091,Footwear,product_pattern,geometric,0.6944051
ss_272091,Footwear,product_color,black,0.5469588
ss_298433,Outerwear,sleeve_length,sleeveless,0.9965855
ss_298433,Outerwear,category,apparel,0.9912302
ss_298433,Outerwear,product_pattern,solid,0.9645793
ss_298433,Outerwear,apparel,upper_body_garment,0.9531257
ss_298433,Outerwear,upper_body_length,crop,0.9272407
ss_298433,Outerwear,product_color,red,0.8223640
ss_298433,Outerwear,upper_body_garment,tank_top,0.7267531
ss_298433,Outerwear,closure_type,zip,0.6692911
ss_298433,Outerwear,sleeve_style,shoulder_strap,0.5949468
ss_298433,Outerwear,neckline,scoop,0.5501284
ss_298433,Jeans,category,apparel,0.9877266
ss_298433,Jeans,lower_body_length,full_length,0.9763004
ss_298433,Jeans,pants_fit_type,straight_loose,0.9214724
ss_298433,Jeans,apparel,lower_body_garment,0.8771558
ss_298433,Jeans,lower_body_garment,jeans,0.7820272
ss_298433,Jeans,product_pattern,solid,0.7191930
ss_298433,Jeans,denim_wash_color,dark,0.6044299
ss_298433,Jeans,rise_type,low_rise,0.4008377
ss_298433,Jeans,product_color,blue,0.3647323
ss_298433,Bags,category,bag,0.9916456
ss_298433,Bags,bag,shoulder_bag_totes,0.9856601
ss_298433,Bags,product_color,multi,0.5898131
ss_298433,Bags,shoulder_bag_totes,crossbody_bag,0.5827242
ss_298433,Bags,product_pattern,other,0.4931863
ss_298433,Footwear,product_pattern,solid,0.8786500
ss_298433,Footwear,product_color,pink,0.6183931
ss_271318,Jeans,lower_body_length,full_length,0.9976079
ss_271318,Jeans,category,apparel,0.9784972
ss_271318,Jeans,apparel,lower_body_garment,0.8956754
ss_271318,Jeans,lower_body_garment,jeans,0.7741507
ss_271318,Jeans,denim_wash_color,dark,0.7122736
ss_271318,Jeans,pants_fit_type,straight_loose,0.5504298
ss_271318,Jeans,product_color,blue,0.3897400
ss_271318,Jeans,product_pattern,other,0.3888267
ss_271318,Jeans,rise_type,low_rise,0.2978918
ss_271318,Outerwear,category,apparel,0.9930420
ss_271318,Outerwear,sleeve_length,long,0.9401051
ss_271318,Outerwear,apparel,outerwear,0.8039106
ss_271318,Outerwear,upper_body_length,crop,0.7779465
ss_271318,Outerwear,outerwear,cardigan,0.7272922
ss_271318,Outerwear,product_color,beige,0.3422594
ss_271318,Outerwear,product_pattern,solid,0.2920536
ss_271318,Outerwear,neckline,crew_neck,0.2179849
ss_315719,Outerwear,sleeve_length,short,0.9999093
ss_315719,Outerwear,category,apparel,0.9733544
ss_315719,Outerwear,closure_type,pullover,0.9603698
ss_315719,Outerwear,apparel,upper_body_garment,0.9390907
ss_315719,Outerwear,product_pattern,dotted,0.8709809
ss_315719,Outerwear,upper_body_length,crop,0.8120853
ss_315719,Outerwear,neckline,crew_neck,0.8076151
ss_315719,Outerwear,sleeve_style,bell_sleeve,0.6474689
ss_315719,Outerwear,product_color,white,0.6344278
ss_315719,Outerwear,upper_body_garment,blouse,0.4355730
ss_315719,Shorts,lower_body_length,thigh_length,0.9999343
ss_315719,Shorts,category,apparel,0.9997047
ss_315719,Shorts,apparel,lower_body_garment,0.9981405
ss_315719,Shorts,lower_body_garment,shorts,0.9895070
ss_315719,Shorts,shorts_type,denim_shorts,0.9885918
ss_315719,Shorts,product_color,blue,0.7365699
ss_315719,Shorts,product_pattern,solid,0.6414984
ss_315719,Shorts,rise_type,mid_rise,0.3365222
ss_315719,Footwear,category,footwear,0.9973693
ss_315719,Footwear,footwear,sandals,0.9902952
ss_315719,Footwear,sandals,flat_sandals,0.9257183
ss_315719,Footwear,heel_type,other,0.8340955
ss_315719,Footwear,product_pattern,solid,0.8156893
ss_315719,Footwear,heel_height,flat,0.7625996
ss_315719,Footwear,sandal_type,slider_sandals,0.1963961
ss_315719,Footwear,product_color,brown,0.1216172
ss_315719,Sunglasses,category,accessory,0.3793333
ss_315719,Sunglasses,accessory,eyewear,0.2991664
ss_295160,Shirts,sleeve_length,three_quarter,0.9954785
ss_295160,Shirts,category,apparel,0.9817442
ss_295160,Shirts,product_pattern,stripes,0.9796357
ss_295160,Shirts,sleeve_style,other,0.8251293
ss_295160,Shirts,apparel,upper_body_garment,0.7990716
ss_295160,Shirts,product_color,multi,0.5836639
ss_295160,Shirts,upper_body_length,regular,0.5832126
ss_295160,Shirts,upper_body_garment,shirt,0.4064347
ss_295160,Shirts,neckline,v_neck,0.3534524
ss_295160,Shorts,category,apparel,0.9965227
ss_295160,Shorts,lower_body_length,thigh_length,0.9953426
ss_295160,Shorts,apparel,lower_body_garment,0.9829530
ss_295160,Shorts,product_pattern,solid,0.9758171
ss_295160,Shorts,lower_body_garment,shorts,0.9711181
ss_295160,Shorts,shorts_type,denim_shorts,0.9208640
ss_295160,Shorts,product_color,blue,0.8431601
ss_295160,Shorts,rise_type,high_rise,0.3995639
ss_295160,Bags,product_color,brown,0.6660181
ss_295160,Bags,category,bag,0.5526648
ss_295160,Bags,bag,shoulder_bag_totes,0.5349455
ss_295160,Bags,product_pattern,camouflage,0.4565822
ss_295160,Bags,shoulder_bag_totes,top_handle_bag,0.2388861
ss_295160,Footwear,category,footwear,0.9989822
ss_295160,Footwear,footwear,sandals,0.9981936
ss_295160,Footwear,sandals,flat_sandals,0.9824192
ss_295160,Footwear,heel_type,other,0.9431589
ss_295160,Footwear,heel_height,flat,0.8445705
ss_295160,Footwear,product_pattern,solid,0.5040520
ss_295160,Footwear,sandal_type,flip_flops,0.2999887
ss_295160,Footwear,product_color,green,0.2083526
ss_261821,Shorts,lower_body_length,thigh_length,0.9999733
ss_261821,Shorts,category,apparel,0.9988807
ss_261821,Shorts,apparel,lower_body_garment,0.9936064
ss_261821,Shorts,shorts_type,denim_shorts,0.9932572
ss_261821,Shorts,lower_body_garment,shorts,0.9827458
ss_261821,Shorts,product_pattern,solid,0.9194748
ss_261821,Shorts,product_color,blue,0.6623176
ss_261821,Shorts,rise_type,mid_rise,0.3323025
ss_261821,Shorts,sleeve_length,short,0.9999615
ss_261821,Shirts,category,apparel,0.9871472
ss_261821,Shirts,apparel,upper_body_garment,0.9477201
ss_261821,Shirts,closure_type,pullover,0.9374247
ss_261821,Shirts,product_pattern,text,0.9054368
ss_261821,Shirts,neckline,round_neck,0.7776706
ss_261821,Shirts,sleeve_style,capped,0.7726449
ss_261821,Shirts,upper_body_garment,t_shirt,0.7530252
ss_261821,Shirts,upper_body_length,regular,0.6559760
ss_261821,Shirts,product_color,grey,0.6238847
ss_261821,Footwear,category,footwear,0.9334804
ss_261821,Footwear,footwear,sneakers,0.8123507
ss_261821,Footwear,shoe_closure,lace,0.7544772
ss_261821,Footwear,sneakers,performance_sneakers,0.5068385
ss_261821,Footwear,product_pattern,solid,0.4033535
ss_261821,Footwear,product_color,green,0.2548811
ss_274738,Shirts,sleeve_length,short,0.9976571
ss_274738,Shirts,category,apparel,0.9929052
ss_274738,Shirts,apparel,upper_body_garment,0.9772309
ss_274738,Shirts,upper_body_length,regular,0.9344269
ss_274738,Shirts,sleeve_style,straight,0.9237605
ss_274738,Shirts,product_pattern,big_graphic,0.8702059
ss_274738,Shirts,upper_body_garment,t_shirt,0.8590047
ss_274738,Shirts,closure_type,pullover,0.8194172
ss_274738,Shirts,neckline,crew_neck,0.8107938
ss_274738,Shirts,product_color,multi,0.6470742
ss_274738,Shorts,lower_body_length,thigh_length,0.9989493
ss_274738,Shorts,category,apparel,0.9977317
ss_274738,Shorts,shorts_type,denim_shorts,0.9965804
ss_274738,Shorts,apparel,lower_body_garment,0.9800704
ss_274738,Shorts,lower_body_garment,shorts,0.9558248
ss_274738,Shorts,product_pattern,solid,0.6968052
ss_274738,Shorts,product_color,blue,0.5660778
ss_274738,Shorts,rise_type,mid_rise,0.3995272
ss_274829,Tops,upper_body_length,crop,0.9986616
ss_274829,Tops,sleeve_length,sleeveless,0.9914962
ss_274829,Tops,category,apparel,0.9812241
ss_274829,Tops,apparel,upper_body_garment,0.9351590
ss_274829,Tops,product_pattern,solid,0.8120479
ss_274829,Tops,product_color,blue,0.4337009
ss_274829,Tops,upper_body_garment,top,0.4057185
ss_274829,Tops,neckline,halter_neck,0.3897969
ss_274829,Tops,closure_type,button,0.3817253
ss_274829,Tops,sleeve_style,capped,0.3609743
ss_274829,Shorts,lower_body_length,thigh_length,0.9996655
ss_274829,Shorts,shorts_type,denim_shorts,0.9987184
ss_274829,Shorts,category,apparel,0.9979047
ss_274829,Shorts,apparel,lower_body_garment,0.9862349
ss_274829,Shorts,lower_body_garment,shorts,0.9747375
ss_274829,Shorts,product_pattern,solid,0.8355291
ss_274829,Shorts,product_color,blue,0.7276291
ss_274829,Shorts,rise_type,low_rise,0.3300876
ss_274829,Footwear,category,footwear,0.9685718
ss_274829,Footwear,product_pattern,solid,0.8179778
ss_274829,Footwear,product_color,white,0.7242712
ss_274829,Footwear,footwear,sneakers,0.7180610
ss_274829,Footwear,shoe_closure,lace,0.5383878
ss_274829,Footwear,sneakers,lifestyle_sneakers,0.4922042
ss_280415,Shorts,lower_body_length,thigh_length,0.9998605
ss_280415,Shorts,category,apparel,0.9963996
ss_280415,Shorts,shorts_type,denim_shorts,0.9912060
ss_280415,Shorts,apparel,lower_body_garment,0.9754348
ss_280415,Shorts,lower_body_garment,shorts,0.9670059
ss_280415,Shorts,product_color,blue,0.7700673
ss_280415,Shorts,product_pattern,solid,0.6865664
ss_280415,Shorts,rise_type,low_rise,0.3594787
ss_280415,Tops,category,apparel,0.9816563
ss_280415,Tops,apparel,upper_body_garment,0.9419913
ss_280415,Tops,upper_body_length,crop,0.9243197
ss_280415,Tops,sleeve_length,sleeveless,0.8613517
